case_id,requested_time_min_s,seaward_distance_m,landward_distance_m,side,zone,rank,point_id,max_displayed_speed_mps,max_frame_index,max_time_s,displayed_frame_count,x_m,y_m,shoreline_distance_m,b0_m,b_current_at_max_m,h_at_max_m,dynamic_wet_at_max,u_at_max_mps,v_at_max_mps,source_topo_id,native_dx_m,native_dy_m,effective_resolution_m,source_precedence_rank,colorbar_fraction_at_max,colorbar_saturated_at_max
aqaba_lsa_c10_angm25,900,1000,500,east,landward_inundated,9,670012,14.4766596544,45,1020,8,85564.09375,3156643,2.73304826402,2.44460533837,-1.41360396147,0.725818634033,true,5.59817409515,13.350435257,topo-bathy.tt3,30,30,30,1,0.5268431476,false
aqaba_lsa_c10_angm25,900,1000,500,east,landward_inundated,10,620993,14.2905982809,50,1620,8,78811.578125,3140227,1.81450025903,1.18148703814,-0.670684590936,0.46520113945,true,-13.5912408829,-4.41580915451,topo-bathy.tt3,30,30,30,1,0.520071892212,false
aqaba_lsa_c10_angm25,900,1000,500,east,seaward,1,669734,23.6787296587,62,3060,5,85504.0703125,3156553,23.7704479582,-2.94090185383,-1.21296840906,0.704425036907,true,19.8966007233,-12.8377380371,topo-bathy.tt3,30,30,30,1,0.861730313647,false
aqaba_lsa_c10_angm25,900,1000,500,east,seaward,2,667813,18.358914819,44,900,1,85414.0390625,3155832.75,1.39062349246,-12.1270460507,-5.11352074146,1.29332339764,true,-15.7229318619,9.47835254669,topo-bathy.tt3,30,30,30,1,0.668128470287,false
aqaba_lsa_c10_angm25,900,1000,500,east,seaward,3,676873,17.4225222303,44,900,1,86434.421875,3158323.75,9.22526511452,-4.3614704702,-3.12447661161,0.679392755032,true,-14.2801799774,-9.98101902008,topo-bathy.tt3,30,30,30,1,0.634050718196,false
aqaba_lsa_c10_angm25,900,1000,500,east,seaward,4,667324,17.2282248025,63,3180,1,85504.0703125,3155652.75,4.29018285819,-11.8395387623,-6.89856910706,2.81227350235,true,12.7591571808,-11.5765123367,topo-bathy.tt3,30,30,30,1,0.626979731457,false
aqaba_lsa_c10_angm25,900,1000,500,east,seaward,5,664196,16.4277310161,52,1860,1,84663.7578125,3154602.25,2.63403293988,-1.10053009106,-2.94126737118,1.28092861176,true,12.1108846664,11.0994062424,topo-bathy.tt3,30,30,30,1,0.597847688835,false
aqaba_lsa_c10_angm25,900,1000,500,east,seaward,6,625734,16.2124860104,57,2460,10,79861.9765625,3141967.5,23.4967141765,-22.0929570839,-4.38952600956,1.46121585369,true,13.1705198288,9.45421123505,topo-bathy.tt3,30,30,30,1,0.590014365471,false
aqaba_lsa_c10_angm25,900,1000,500,east,seaward,7,603426,15.1978968574,55,2220,5,75360.296875,3133594.5,24.5751757539,-29.1884035161,-0.295745611191,0.675034761429,true,-9.6121301651,-11.7721290588,topo-bathy.tt3,30,30,30,1,0.553090837831,false
aqaba_lsa_c10_angm25,900,1000,500,east,seaward,8,599882,14.5933535745,45,1020,1,75120.203125,3132304,19.0708253955,-4.94465722859,-3.56591308117,1.85207891464,true,14.5926160812,-0.14671215415,topo-bathy.tt3,30,30,30,1,0.531089941655,false
