case_id,requested_time_min_s,effective_first_selected_time_s,frame_index,time_s,seaward_distance_m,landward_distance_m,side,zone,candidate_count_before_global_sampling,displayed_arrow_count,displayed_speed_max_mps,displayed_top10_mean_speed_mps,displayed_top10_count,displayed_max_point_id,displayed_max_x_m,displayed_max_y_m,displayed_max_u_mps,displayed_max_v_mps,displayed_max_h_m,displayed_max_m,displayed_max_b0_m,displayed_max_b_current_m,displayed_max_shoreline_distance_m,displayed_max_static_zone,displayed_max_dynamic_wet,displayed_max_source_topo_id,displayed_max_native_dx_m,displayed_max_native_dy_m,displayed_max_effective_resolution_m,displayed_max_source_precedence_rank,colorbar_fraction,colorbar_saturated
aqaba_lsa_c10_angm25,900,900,46,1140,1000,500,west,landward_inundated,167983,106,5.73957693501,4.58436299264,10,684464,61044.9648438,3160244.25,5.13944625854,-2.55515861511,0.526622593403,0,1.33851833178,0.961134254932,16.2904588471,landward,true,topo-bathy.tt3,30,30,30,1,0.208878073431,false
aqaba_lsa_c10_angm25,900,900,46,1140,1000,500,west,combined_coastal,167983,390,6.6907627327,5.68763888615,10,690248,60924.9179688,3162315.25,-3.30580663681,5.81703948975,1.68662035465,0,-2.18417746333,-2.39928239584,47.3527971402,seaward,true,topo-bathy.tt3,30,30,30,1,0.243494188721,false
aqaba_lsa_c10_angm25,900,900,47,1260,1000,500,east,seaward,173088,287,11.9231235126,10.1900337969,10,650729,82833.078125,3150010.5,-7.2435092926,-9.47060966492,1.05317926407,0,-0.774421361977,-1.58097112179,11.2649254056,seaward,true,topo-bathy.tt3,30,30,30,1,0.43391335229,false
aqaba_lsa_c10_angm25,900,900,47,1260,1000,500,east,landward_inundated,173088,60,14.4385835231,10.533802275,10,668876,85564.09375,3156252.75,13.4747486115,5.18689155579,0.295569181442,0,3.71568529799,-1.10100948811,17.9409922855,landward,true,topo-bathy.tt3,30,30,30,1,0.525457458542,false
aqaba_lsa_c10_angm25,900,900,47,1260,1000,500,east,combined_coastal,173088,347,14.4385835231,11.3878818443,10,668876,85564.09375,3156252.75,13.4747486115,5.18689155579,0.295569181442,0,3.71568529799,-1.10100948811,17.9409922855,landward,true,topo-bathy.tt3,30,30,30,1,0.525457458542,false
aqaba_lsa_c10_angm25,900,900,47,1260,1000,500,west,seaward,173088,275,6.43330411403,5.22381071905,10,672632,59964.5625,3157513.25,4.45456647873,-4.6415772438,0.894053995609,0,-3.90684903977,-3.70422655344,116.763948884,seaward,true,topo-bathy.tt3,30,30,30,1,0.234124602623,false
aqaba_lsa_c10_angm25,900,900,47,1260,1000,500,west,landward_inundated,173088,106,4.95120425835,3.75851182656,10,636919,52251.6914062,3144908.75,1.40591466427,4.74740219116,0.919200837612,0.0197681281716,8.34709157109,5.69955450296,268.048769488,landward,true,topo-bathy.tt3,30,30,30,1,0.180187149394,false
aqaba_lsa_c10_angm25,900,900,47,1260,1000,500,west,combined_coastal,173088,381,6.43330411403,5.30225388113,10,672632,59964.5625,3157513.25,4.45456647873,-4.6415772438,0.894053995609,0,-3.90684903977,-3.70422655344,116.763948884,seaward,true,topo-bathy.tt3,30,30,30,1,0.234124602623,false
aqaba_lsa_c10_angm25,900,900,48,1380,1000,500,east,seaward,186549,288,14.0358740022,10.0132443602,10,650729,82833.078125,3150010.5,-9.08583927155,-10.6982841492,1.06875896454,0,-0.774421361977,-1.58097118139,11.2649254056,seaward,true,topo-bathy.tt3,30,30,30,1,0.510801815829,false
aqaba_lsa_c10_angm25,900,900,48,1380,1000,500,east,landward_inundated,186549,61,12.8440883059,10.5186413711,10,668793,85534.0859375,3156222.75,12.2262992859,3.93550634384,1.9094479084,0,3.38959053816,-2.81663829088,14.9019690639,landward,true,topo-bathy.tt3,30,30,30,1,0.467429646941,false
aqaba_lsa_c10_angm25,900,900,48,1380,1000,500,east,combined_coastal,186549,349,14.0358740022,11.3131043332,10,650729,82833.078125,3150010.5,-9.08583927155,-10.6982841492,1.06875896454,0,-0.774421361977,-1.58097118139,11.2649254056,seaward,true,topo-bathy.tt3,30,30,30,1,0.510801815829,false
aqaba_lsa_c10_angm25,900,900,48,1380,1000,500,west,seaward,186549,286,5.42113594532,4.76710998518,10,675000,59064.2265625,3157993.5,-4.06601953506,3.58555436134,0.313728362322,0,-2.69924533031,-3.1047411263,30.7883926838,seaward,true,topo-bathy.tt3,30,30,30,1,0.197289180873,false
