side,station_id,source_topo_id,model_grid_spacing_m,native_dx_m,native_dy_m,effective_resolution_m,raw_source_class_value,raw_source_id,raw_source_native_resolution_m,raw_source_multibeam,raw_source_confidence,source_overlap_count,source_precedence_rank,multibeam_coverage,distance_to_raw_source_boundary_m,distance_to_resolution_boundary_m,distance_to_raw_source_boundary_censored
east,east_0186,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0187,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,92.7666666667,92.7666666667,false
east,east_0188,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0189,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0190,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,97.7846525361,97.7846525361,false
east,east_0191,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,87.4612520908,87.4612520908,false
east,east_0192,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,87.4612520908,87.4612520908,false
east,east_0193,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0194,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,154.611111111,154.611111111,false
east,east_0195,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,138.288381808,138.288381808,false
east,east_0196,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0197,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,92.7666666667,92.7666666667,false
east,east_0198,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,61.8444444444,61.8444444444,false
east,east_0199,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,92.7666666667,92.7666666667,false
east,east_0200,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0201,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,87.4612520908,87.4612520908,false
east,east_0202,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,61.8444444444,61.8444444444,false
east,east_0203,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0204,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0205,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,92.7666666667,92.7666666667,false
east,east_0206,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,174.922504182,174.922504182,false
east,east_0207,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,174.922504182,174.922504182,false
east,east_0208,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,138.288381808,138.288381808,false
east,east_0209,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,154.611111111,154.611111111,false
east,east_0210,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0211,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0212,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0213,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0214,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0215,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0216,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0217,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,43.7306260454,43.7306260454,false
east,east_0218,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0219,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0220,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0221,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0222,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0223,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0224,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,92.7666666667,92.7666666667,false
east,east_0225,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0226,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,43.7306260454,43.7306260454,false
east,east_0227,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,87.4612520908,87.4612520908,false
east,east_0228,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0229,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,87.4612520908,87.4612520908,false
east,east_0230,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0231,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,43.7306260454,43.7306260454,false
east,east_0232,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0233,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,97.7846525361,97.7846525361,false
east,east_0234,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0235,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0236,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,87.4612520908,87.4612520908,false
east,east_0237,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,111.491657774,111.491657774,false
east,east_0238,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0239,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0240,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0241,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0242,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0243,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,43.7306260454,43.7306260454,false
east,east_0244,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0245,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,61.8444444444,61.8444444444,false
east,east_0246,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0247,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0248,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0249,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,43.7306260454,43.7306260454,false
east,east_0250,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0251,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0252,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,61.8444444444,61.8444444444,false
east,east_0253,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0254,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0255,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0256,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0257,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0258,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0259,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0260,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0261,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,43.7306260454,43.7306260454,false
east,east_0262,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,43.7306260454,43.7306260454,false
east,east_0263,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,61.8444444444,61.8444444444,false
east,east_0264,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0265,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,262.383756272,262.383756272,false
east,east_0266,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,218.653130227,218.653130227,false
east,east_0267,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0268,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,43.7306260454,43.7306260454,false
east,east_0269,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0270,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
