source_root,model_configuration_files,effective_topography_file_order,source_file,sha256,format,topo_type,nrows,ncols,dx,dy,xmin,xmax,ymin,ymax,nodata,vertical_datum_if_known,model_precedence_rank,used_by_model,notes
/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/TOPO,/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/mixed/setrun.py;/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase1/setrun.py;/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase2/setrun.py,"{""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/mixed/setrun.py"": [""TOPO/topo-bathy.tt3"", ""case-local tt3/b.tt3""], ""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase1/setrun.py"": [""TOPO/topo-bathy.tt3"", ""case-local tt3/b.tt3""], ""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase2/setrun.py"": [""TOPO/topo-bathy.tt3"", ""TOPO/topo-bathy.tt3""]}",/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/TOPO/topo-bathy.tt3,e227e2403c32a6779cc8206c45f15c4eff33bea90d0748330b0d89c297352147,GeoClaw topo type 3 ASCII,3,6617,2685,30.0,30.0,34290.0,114840.0,3081420.0,3279930.0,-9999.0,unknown; sea level supplied by CLI,1,True,Shared receiver-side source topography used for shoreline and bathymetric metrics.
/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/TOPO,/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/mixed/setrun.py;/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase1/setrun.py;/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase2/setrun.py,"{""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/mixed/setrun.py"": [""TOPO/topo-bathy.tt3"", ""case-local tt3/b.tt3""], ""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase1/setrun.py"": [""TOPO/topo-bathy.tt3"", ""case-local tt3/b.tt3""], ""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase2/setrun.py"": [""TOPO/topo-bathy.tt3"", ""TOPO/topo-bathy.tt3""]}",/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/tt3/angm20/b.tt3,2468a05edc119d82d00788a22197af267c6b3dc01046699b12d2ad3ab313a28b,GeoClaw topo type 3 ASCII,3,33,36,30.0,30.0,53010.0,54090.0,3149250.0,3150240.0,-9999.0,case-local landslide/static b topofile,2,True,Model topofile overlay; not used for shared receiver-side shoreline or bathymetric controls.
/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/TOPO,/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/mixed/setrun.py;/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase1/setrun.py;/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase2/setrun.py,"{""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/mixed/setrun.py"": [""TOPO/topo-bathy.tt3"", ""case-local tt3/b.tt3""], ""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase1/setrun.py"": [""TOPO/topo-bathy.tt3"", ""case-local tt3/b.tt3""], ""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase2/setrun.py"": [""TOPO/topo-bathy.tt3"", ""TOPO/topo-bathy.tt3""]}",/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/tt3/angm25/b.tt3,f653cca5a23f1b0888fb5c9cde17fa6db94f1a0b886268de4857e8605dead305,GeoClaw topo type 3 ASCII,3,33,36,30.0,30.0,53010.0,54090.0,3149250.0,3150240.0,-9999.0,case-local landslide/static b topofile,3,True,Model topofile overlay; not used for shared receiver-side shoreline or bathymetric controls.
/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/TOPO,/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/mixed/setrun.py;/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase1/setrun.py;/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase2/setrun.py,"{""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/mixed/setrun.py"": [""TOPO/topo-bathy.tt3"", ""case-local tt3/b.tt3""], ""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase1/setrun.py"": [""TOPO/topo-bathy.tt3"", ""case-local tt3/b.tt3""], ""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase2/setrun.py"": [""TOPO/topo-bathy.tt3"", ""TOPO/topo-bathy.tt3""]}",/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/tt3/angm30/b.tt3,39fe64443f1c67f98d0a73e452d7adc5abbdbee900cddad46530a19d6b956ad6,GeoClaw topo type 3 ASCII,3,33,36,30.0,30.0,53010.0,54090.0,3149250.0,3150240.0,-9999.0,case-local landslide/static b topofile,4,True,Model topofile overlay; not used for shared receiver-side shoreline or bathymetric controls.
/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/TOPO,/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/mixed/setrun.py;/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase1/setrun.py;/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase2/setrun.py,"{""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/mixed/setrun.py"": [""TOPO/topo-bathy.tt3"", ""case-local tt3/b.tt3""], ""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase1/setrun.py"": [""TOPO/topo-bathy.tt3"", ""case-local tt3/b.tt3""], ""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase2/setrun.py"": [""TOPO/topo-bathy.tt3"", ""TOPO/topo-bathy.tt3""]}",/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/tt3/angm35/b.tt3,8ffabd49e8c457ba03945d9aa1b147f36f0ecf9b5fbee9b180e2a7ecf8aaa6dd,GeoClaw topo type 3 ASCII,3,33,36,30.0,30.0,53010.0,54090.0,3149250.0,3150240.0,-9999.0,case-local landslide/static b topofile,5,True,Model topofile overlay; not used for shared receiver-side shoreline or bathymetric controls.
/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/TOPO,/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/mixed/setrun.py;/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase1/setrun.py;/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase2/setrun.py,"{""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/mixed/setrun.py"": [""TOPO/topo-bathy.tt3"", ""case-local tt3/b.tt3""], ""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase1/setrun.py"": [""TOPO/topo-bathy.tt3"", ""case-local tt3/b.tt3""], ""/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/templates/unmixedphase2/setrun.py"": [""TOPO/topo-bathy.tt3"", ""TOPO/topo-bathy.tt3""]}",/home/daij/Desktop/compile_all/aqaba_scenarios_lsa/tt3/angm40/b.tt3,dac9fa47247e858fe037c77eb154db4fb9e53156107556f72017f688b6f9c2d0,GeoClaw topo type 3 ASCII,3,33,36,30.0,30.0,53010.0,54090.0,3149250.0,3150240.0,-9999.0,case-local landslide/static b topofile,6,True,Model topofile overlay; not used for shared receiver-side shoreline or bathymetric controls.
