side,station_id,station_index,alongshore_distance_m,normalized_along_gulf_coordinate,x_m,y_m,shoreline_tangent_x,shoreline_tangent_y,seaward_normal_x,seaward_normal_y,shoreline_curvature,source_topo_id_at_shoreline,native_resolution_m_at_shoreline,effective_resolution_m_at_shoreline,model_grid_spacing_m,source_elevation_at_shoreline_m,raw_source_class_value,raw_source_id,raw_source_class,raw_source_multibeam,raw_source_native_resolution_m,raw_source_confidence,source_overlap_count,distance_to_raw_source_boundary_m,distance_to_raw_source_boundary_censored
west,west_0217,217,108500,0.607036323664,79612.6820474,3216249.57748,-0.0736995020615,0.997280493841,0.997280493841,0.0736995020615,7.323960871e-05,topo-bathy.tt3,30,30,30,-0.179808717951,1,copernicus_a2_land_core,land/a2 core,false,30,high,1,30.9222222222,false
west,west_0218,218,109000,0.609833726078,79602.4418154,3216746.43738,-0.0268126312838,0.999640476773,0.999640476773,0.0268126312838,0.000168261199782,topo-bathy.tt3,30,30,30,0.10923683477,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,61.8444444444,false
west,west_0219,219,109500,0.612631128491,79586.9549542,3217208.74645,-0.239671605177,0.970854016664,0.970854016664,0.239671605177,0.000718425998871,topo-bathy.tt3,30,30,30,1.35248830115,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,154.611111111,false
west,west_0220,220,110000,0.615428530904,79390.2002204,3217606.17879,-0.678149567131,0.734923917559,0.734923917559,0.678149567131,0.000596720549693,topo-bathy.tt3,30,30,30,0.502798417513,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,166.52126287,false
west,west_0221,221,110500,0.618225933317,78989.1000989,3217856.65342,-0.743806962043,0.668394496698,0.668394496698,0.743806962043,-0.000366245954231,topo-bathy.tt3,30,30,30,-0.326704683616,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,166.52126287,false
west,west_0222,222,111000,0.62102333573,78679.4857596,3218244.83594,-0.3699878008,0.929036612443,0.929036612443,0.3699878008,-0.0007250908323,topo-bathy.tt3,30,30,30,0.427033275371,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,174.922504182,false
west,west_0223,223,111500,0.623820738144,78638.7833823,3218736.29608,-0.113412754923,0.993547959094,0.993547959094,0.113412754923,-0.000122262845701,topo-bathy.tt3,30,30,30,-0.0252484709611,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,69.1441909042,false
west,west_0224,224,112000,0.626618140557,78569.987528,3219204.09088,-0.253922032002,0.967224690371,0.967224690371,0.253922032002,0.000319837769539,topo-bathy.tt3,30,30,30,-0.0896652385217,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,30.9222222222,false
west,west_0225,225,112500,0.62941554297,78404.6200131,3219628.25725,-0.420045148999,0.90750320815,0.90750320815,0.420045148999,0.000432222517228,topo-bathy.tt3,30,30,30,-0.0816952234071,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,43.7306260454,false
west,west_0226,226,113000,0.632212945383,78181.2378198,3220043.98061,-0.635731315897,0.77191041837,0.77191041837,0.635731315897,4.01392353688e-05,topo-bathy.tt3,30,30,30,0.902620826192,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,138.288381808,false
west,west_0227,227,113500,0.635010347796,77828.9171087,3220327.28066,-0.456123519018,0.889916476642,0.889916476642,0.456123519018,-0.00111103977277,topo-bathy.tt3,30,30,30,-0.0690158966226,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,111.491657774,false
west,west_0228,228,114000,0.63780775021,77796.2915895,3220795.02715,0.409662636607,0.912237098658,0.912237098658,-0.409662636607,-0.00126041142175,topo-bathy.tt3,30,30,30,-0.0319920686805,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,207.432572713,false
west,west_0229,229,114500,0.640605152623,78181.5886328,3221112.6099,0.708081175397,0.706131042405,0.706131042405,-0.708081175397,-0.000371532070219,topo-bathy.tt3,30,30,30,0.00153160709335,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,262.383756272,false
west,west_0230,230,115000,0.643402555036,78499.827181,3221496.62513,0.712893925077,0.701271881361,0.701271881361,-0.712893925077,0.000279683044313,topo-bathy.tt3,30,30,30,-0.00603809344412,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,222.983315547,false
west,west_0231,231,115500,0.646199957449,78882.156864,3221801.75703,0.485639056377,0.874159428778,0.874159428778,-0.485639056377,0.000856013719306,topo-bathy.tt3,30,30,30,0.03100099134,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,154.611111111,false
west,west_0232,232,116000,0.648997359862,78943.2396551,3222294.77592,-0.0623569552472,0.998053911436,0.998053911436,0.0623569552472,0.000923361502866,topo-bathy.tt3,30,30,30,0.00315482972626,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,123.688888889,false
west,west_0233,233,116500,0.651794762276,78822.7381243,3222752.78335,-0.404349453104,0.914604570169,0.914604570169,0.404349453104,0.000161953609344,topo-bathy.tt3,30,30,30,-0.000480204245068,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,278.3,false
west,west_0234,234,117000,0.654592164689,78584.2633117,3223106.75032,-0.222473719466,0.974938687378,0.974938687378,0.222473719466,-0.000505622374855,topo-bathy.tt3,30,30,30,0.00359193427931,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,127.495588401,false
west,west_0235,235,117500,0.657389567102,78628.4912291,3223604.02462,0.0892360850322,0.996010502519,0.996010502519,-0.0892360850322,-0.000515492874319,topo-bathy.tt3,30,30,30,0.00984937521962,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,315.34602903,false
west,west_0236,236,118000,0.660186969515,78673.2852153,3224100.37023,0.287046187662,0.957916742806,0.957916742806,-0.287046187662,-0.000527803427496,topo-bathy.tt3,30,30,30,-0.0201462676706,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,247.377777778,false
west,west_0237,237,118500,0.662984371928,78908.9108096,3224539.82737,0.57872007736,0.815526254673,0.815526254673,-0.57872007736,-0.000536963875288,topo-bathy.tt3,30,30,30,0.000105905231114,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,216.455555556,false
west,west_0238,238,119000,0.665781774342,79216.2097355,3224865.45376,0.736651632618,0.67627240973,-0.67627240973,0.736651632618,0.000583037030532,topo-bathy.tt3,30,30,30,-0.0835801416103,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,92.7666666667,false
west,west_0239,239,119500,0.668579176755,79450.6356146,3225037.15002,0.0341147200713,0.999417923531,0.999417923531,-0.0341147200713,0.000977509317904,topo-bathy.tt3,30,30,30,0.357625175511,5,gmrt_core,GMRT core,unknown,54,high,1,43.7306260454,false
west,west_0240,240,120000,0.671376579168,79237.4142921,3225486.65815,-0.148848417814,0.988860024733,0.988860024733,0.148848417814,-0.00015798005282,topo-bathy.tt3,30,30,30,-0.0822001665475,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,218.653130227,false
west,west_0241,241,120500,0.674173981581,79312.6327631,3225953.95858,0.190922053845,0.981605200351,0.981605200351,-0.190922053845,-8.46789549424e-05,topo-bathy.tt3,30,30,30,0.0707519478662,1,copernicus_a2_land_core,land/a2 core,false,30,high,1,30.9222222222,false
west,west_0242,242,121000,0.676971383994,79417.166091,3226410.83269,-0.0646794780064,0.997906090334,0.997906090334,0.0646794780064,0.000554151742288,topo-bathy.tt3,30,30,30,-0.481627094412,1,copernicus_a2_land_core,land/a2 core,false,30,high,1,43.7306260454,false
west,west_0243,243,121500,0.679768786408,79254.1365188,3226856.46676,-0.354192406327,0.935172571935,0.935172571935,0.354192406327,-0.000504889562336,topo-bathy.tt3,30,30,30,-2.0902696312,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,30.9222222222,false
west,west_0244,244,122000,0.682566188821,79082.8215011,3227293.60116,0.426088654775,0.904681412583,0.904681412583,-0.426088654775,-0.000994893275605,topo-bathy.tt3,30,30,30,-0.0270622652394,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,43.7306260454,false
west,west_0245,245,122500,0.685363591234,79534.9678304,3227452.73438,0.591439537166,0.806349349772,0.806349349772,-0.591439537166,0.000276064539671,topo-bathy.tt3,30,30,30,0.175256577474,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,235.496628374,false
west,west_0246,246,123000,0.688160993647,79557.1099407,3227940.23053,0.163364845685,0.986565723707,0.986565723707,-0.163364845685,0.000340040038493,topo-bathy.tt3,30,30,30,-0.033018576776,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,247.377777778,false
west,west_0247,247,123500,0.69095839606,79695.2457918,3228420.65831,0.288636948968,0.957438620325,0.957438620325,-0.288636948968,-0.000218674421085,topo-bathy.tt3,30,30,30,-0.013278771164,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,188.092534687,false
west,west_0248,248,124000,0.693755798474,79845.6772557,3228897.43817,0.373495881544,0.927631837784,0.927631837784,-0.373495881544,-0.000107892789114,topo-bathy.tt3,30,30,30,-0.0350139161711,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,207.432572713,false
west,west_0249,249,124500,0.696553200887,80067.3817321,3229344.91253,0.39005900943,0.920789861566,0.920789861566,-0.39005900943,7.60485381542e-05,topo-bathy.tt3,30,30,30,-0.0344970549001,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,43.7306260454,false
west,west_0250,250,125000,0.6993506033,80234.4725231,3229815.24479,0.301939300896,0.953327151913,0.953327151913,-0.301939300896,3.24525272478e-05,topo-bathy.tt3,30,30,30,0.00436082273866,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,180.305990259,false
west,west_0251,251,125500,0.702148005713,80368.8712746,3230296.81964,0.359976915675,0.932961210437,0.932961210437,-0.359976915675,-9.50699804995e-05,topo-bathy.tt3,30,30,30,-0.018614290387,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,180.305990259,false
west,west_0252,252,126000,0.704945408126,80591.350992,3230740.17568,0.391072146832,0.920360025193,0.920360025193,-0.391072146832,0.000231314031327,topo-bathy.tt3,30,30,30,-0.0103424829013,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,293.353957608,false
west,west_0253,253,126500,0.70774281054,80751.0371269,3231196.21935,0.13650162589,0.990639846831,0.990639846831,-0.13650162589,0.000319343407292,topo-bathy.tt3,30,30,30,-0.00306316425463,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,218.653130227,false
west,west_0254,254,127000,0.710540212953,80722.8551799,3231694.54738,0.0823594249112,0.996602691712,0.996602691712,-0.0823594249112,-0.000191851384321,topo-bathy.tt3,30,30,30,-0.0342300321951,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,166.52126287,false
west,west_0255,255,127500,0.713337615366,80832.4293404,3232181.11815,0.322889092157,0.946436809389,0.946436809389,-0.322889092157,-0.00019474970852,topo-bathy.tt3,30,30,30,-0.0826426730053,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,69.1441909042,false
west,west_0256,256,128000,0.716135017779,81040.7135255,3232626.23831,0.273666044211,0.96182477419,0.96182477419,-0.273666044211,-1.01077174119e-05,topo-bathy.tt3,30,30,30,0.0579234242157,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,225.117175799,false
west,west_0257,257,128500,0.718932420192,81087.8676685,3233078.87992,0.332438751088,0.943124846866,0.943124846866,-0.332438751088,-0.000109739279861,topo-bathy.tt3,30,30,30,-0.0314385276619,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,127.495588401,false
west,west_0258,258,129000,0.721729822606,81344.7937239,3233488.91027,0.377358091262,0.926067422469,0.926067422469,-0.377358091262,-0.000400250506154,topo-bathy.tt3,30,30,30,0.0358686783042,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,87.4612520908,false
west,west_0259,259,129500,0.724527225019,81449.0457927,3233965.24039,0.673651638444,0.739049030865,0.739049030865,-0.673651638444,-0.000794666988606,topo-bathy.tt3,30,30,30,-0.0812660947726,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,318.363763137,false
west,west_0260,260,130000,0.727324627432,81914.1683367,3234113.55917,0.925217645786,0.379436829954,0.379436829954,-0.925217645786,-0.000489525072593,topo-bathy.tt3,30,30,30,0.0614801646738,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,280.012631549,false
west,west_0261,261,130500,0.730122029845,82359.4615453,3234338.60688,0.942041352039,0.335496782471,0.335496782471,-0.942041352039,-6.14712988993e-05,topo-bathy.tt3,30,30,30,-0.0204756992874,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,207.432572713,false
west,west_0262,262,131000,0.732919432258,82846.3075864,3234445.52944,0.946779914806,0.321881644272,0.321881644272,-0.946779914806,-3.32541577876e-05,topo-bathy.tt3,30,30,30,0.071522533157,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,154.611111111,false
west,west_0263,263,131500,0.735716834672,83296.6142347,3234657.21551,0.952675133809,0.3039902785,0.3039902785,-0.952675133809,0.000211836170446,topo-bathy.tt3,30,30,30,0.171598908043,1,copernicus_a2_land_core,land/a2 core,false,30,high,1,30.9222222222,false
