side,station_id,alongshore_distance_m,normalized_along_gulf_coordinate,x_m,y_m,representation,common_scale_m,shoreline_curvature,channel_axis_orientation_deg,source_topo_id,native_resolution_m,effective_resolution_m,model_grid_spacing_m,raw_source_class_value,raw_source_id,raw_source_class,raw_source_native_resolution_m,raw_source_multibeam,raw_source_confidence,source_overlap_count,distance_to_raw_source_boundary_m,distance_to_raw_source_boundary_censored,multibeam_coverage,distance_to_resolution_boundary_m,depth_at_100m_offshore,depth_at_250m_offshore,depth_at_500m_offshore,depth_at_1000m_offshore,depth_at_2000m_offshore,distance_to_5m_isobath,distance_to_10m_isobath,distance_to_20m_isobath,distance_to_50m_isobath,distance_to_100m_isobath,mean_abs_slope_0_250m,slope_angle_0_250m_deg,mean_abs_slope_250_500m,slope_angle_250_500m_deg,mean_abs_slope_500_1000m,slope_angle_500_1000m_deg,mean_abs_slope_1000_2000m,slope_angle_1000_2000m_deg,isobath_spacing_5_10m,isobath_spacing_10_20m,isobath_spacing_20_50m,isobath_spacing_50_100m,channel_anomaly_100m,channel_anomaly_250m,channel_anomaly_500m,channel_anomaly_1000m,integrated_positive_channel_anomaly_0_1000m,max_positive_channel_anomaly_0_1000m,contiguous_positive_channel_run_length_m,channel_persistence_scale_count
east,east_0068,34000,0.197356604097,84973.2362043,3155443.17941,common,250,-0.000742498735142,42.0160423279,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,30.9222222222,false,unknown,30.9222222222,85.2439984133,132.427563985,398.30376149,615.874508973,958.767723366,3.44868051191,6.08015438996,11.3431021461,27.1319454143,138.969935651,0.535921274341,28.1878042878,1.06350479002,46.7627331947,0.435141494964,23.5158569701,0.342893214393,18.926493749,2.63147387805,5.26294775609,15.7888432683,111.837990236,3.68376859057,13.6573788133,187.650023386,79.1096343183,93153.9257563,187.650023386,900,4
east,east_0068,34000,0.197356604097,84973.2362043,3155443.17941,common,500,-0.000742498735142,42.0160423279,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,30.9222222222,false,unknown,30.9222222222,114.270802417,179.607114244,365.126425811,622.332668682,938.606107864,3.32380059184,5.85998636,10.9323578963,26.1494725053,58.6361612602,0.724639475375,35.9285698288,0.742077246268,36.5782692902,0.514412485742,27.221855451,0.316273439182,17.550779564,2.53618576816,5.07237153633,15.217114609,32.4866887549,21.7018534032,66.8759469049,148.281961871,90.7173386505,93287.8987504,148.281961871,900,4
east,east_0068,34000,0.197356604097,84973.2362043,3155443.17941,common,1000,-0.000742498735142,42.0160423279,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,30.9222222222,false,unknown,30.9222222222,223.514248214,277.663167249,345.985659374,624.640861978,899.458031857,1.60848331868,2.83581702551,5.29048443917,12.6544866802,24.9278237485,1.1168636874,48.1598662872,0.273289968501,15.2851225012,0.557310405207,29.1313787796,0.274817169879,15.366511903,1.22733370683,2.45466741366,7.36400224099,12.2733370683,85.5280726274,94.5280485801,90.371144572,105.6838323,85630.3524525,105.6838323,900,4
east,east_0069,34500,0.200258907098,85448.3390242,3155537.21024,common,250,0.000697395795938,52.4974796391,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,43.7306260454,false,false,43.7306260454,64.9854754023,118.770185172,128.418371077,433.922466843,872.297074808,3.45254554956,8.16875146832,17.6011633058,45.8983988184,174.793645845,0.469721940028,25.1604740142,0.0385927436202,2.2101045216,0.611008191533,31.4252719759,0.438374607965,23.6714248889,4.71620591875,9.43241183751,28.2972355125,128.895247027,-20.258523011,-13.6573788133,-144.895011429,-150.307018851,0,0,0,1
east,east_0069,34500,0.200258907098,85448.3390242,3155537.21024,common,500,0.000697395795938,52.4974796391,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,43.7306260454,false,false,43.7306260454,90.4658666571,91.657513396,176.4351055,438.271369066,847.571419334,2.15747466798,5.10460299768,10.9988596571,28.6816296353,283.235845876,0.361271252925,19.8633309392,0.339110368416,18.732330508,0.523672527131,27.639815666,0.409300050269,22.2592879082,2.9471283297,5.8942566594,17.6827699782,254.55421624,-23.8049357594,-54.1944136566,-99.397070115,-135.00931887,0,0,0,1
east,east_0069,34500,0.200258907098,85448.3390242,3155537.21024,common,1000,0.000697395795938,52.4974796391,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,43.7306260454,false,false,43.7306260454,105.062983742,141.607096094,198.346215579,435.194430712,805.345775112,1.9408585382,4.59208743408,9.89454522584,25.8019186011,73.1474767438,0.561069583719,29.2954574944,0.226956477939,12.7870351043,0.473696430265,25.3467477726,0.370151344401,20.3121005622,2.65122889588,5.30245779176,15.9073733753,47.3455581426,-70.9378424698,-83.9608227779,-102.921332829,-137.470412104,0,0,0,1
east,east_0070,35000,0.203161210099,85312.2464068,3155884.94587,common,250,0.000271311904996,81.9738780854,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,61.8444444444,false,unknown,61.8444444444,81.5602298227,145.318892819,341.016236011,584.229485694,984.811115239,4.44672147327,7.47593584078,13.5343645758,31.7096507809,133.149652824,0.590634480442,30.5675635004,0.782789372768,38.0534619304,0.486426499367,25.9395161774,0.400581629545,21.830132101,3.02921436751,6.05842873502,18.1752862051,101.440002044,-3.68376859057,12.8913288336,67.7028535047,-6.31271779178,27966.835831,67.7028535047,250,4
east,east_0070,35000,0.203161210099,85312.2464068,3155884.94587,common,500,0.000271311904996,81.9738780854,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,61.8444444444,false,unknown,61.8444444444,123.002091672,175.215741782,329.98389391,573.280687936,967.417952067,3.40590674974,5.72609291897,10.3664652574,24.2875822728,47.4894439651,0.710221876298,35.383202907,0.61907260851,31.7605151875,0.486593588052,25.9472573743,0.394137264132,21.5112477565,2.32018616923,4.64037233846,13.9211170154,23.2018616923,8.73128925558,29.3638147299,54.151718295,-14.6812647465,26834.5040008,54.151718295,400,4
east,east_0070,35000,0.203161210099,85312.2464068,3155884.94587,common,1000,0.000271311904996,81.9738780854,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,61.8444444444,false,unknown,61.8444444444,206.853685648,252.351498883,322.3988292,572.664842816,927.668891613,1.89570254858,3.18710103872,5.76989801901,13.5182889599,26.4322738613,1.0187649047,45.5325626954,0.280189321268,15.6523046697,0.500532027233,26.589432319,0.355004048797,19.5450683422,1.29139849014,2.58279698029,7.74839094086,12.9139849014,30.852859437,26.7835800104,21.1312807914,-1.8661067651,15594.9107566,30.852859437,400,4
east,east_0071,35500,0.206063513101,85552.1890104,3156273.70475,common,250,-0.000122031447677,68.042506727,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,43.7306260454,false,false,43.7306260454,114.986554038,135.040853339,273.313382506,590.542203486,955.129627849,0,0,4.32192107646,20.7749318297,48.1966164185,0.491685335813,26.1826689507,0.553090116669,28.9465477463,0.63445764196,32.393396603,0.364587424363,20.0312195783,0,4.32192107646,16.4530107533,27.4216845888,23.1155403644,0,8.01127194204,6.31271779178,6316.07195354,23.1155403644,500,4
