side,station_id,alongshore_distance_m,normalized_along_gulf_coordinate,x_m,y_m,representation,common_scale_m,shoreline_curvature,channel_axis_orientation_deg,source_topo_id,native_resolution_m,effective_resolution_m,model_grid_spacing_m,raw_source_class_value,raw_source_id,raw_source_class,raw_source_native_resolution_m,raw_source_multibeam,raw_source_confidence,source_overlap_count,distance_to_raw_source_boundary_m,distance_to_raw_source_boundary_censored,multibeam_coverage,distance_to_resolution_boundary_m,depth_at_100m_offshore,depth_at_250m_offshore,depth_at_500m_offshore,depth_at_1000m_offshore,depth_at_2000m_offshore,distance_to_5m_isobath,distance_to_10m_isobath,distance_to_20m_isobath,distance_to_50m_isobath,distance_to_100m_isobath,mean_abs_slope_0_250m,slope_angle_0_250m_deg,mean_abs_slope_250_500m,slope_angle_250_500m_deg,mean_abs_slope_500_1000m,slope_angle_500_1000m_deg,mean_abs_slope_1000_2000m,slope_angle_1000_2000m_deg,isobath_spacing_5_10m,isobath_spacing_10_20m,isobath_spacing_20_50m,isobath_spacing_50_100m,channel_anomaly_100m,channel_anomaly_250m,channel_anomaly_500m,channel_anomaly_1000m,integrated_positive_channel_anomaly_0_1000m,max_positive_channel_anomaly_0_1000m,contiguous_positive_channel_run_length_m,channel_persistence_scale_count
west,west_0290,145000,0.811246699828,86181.7241541,3245068.89027,native,0,0.000187265081058,77.7615343921,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,30.9222222222,false,unknown,30.9222222222,2.96791681358,4.49957276199,5.39137916845,17.4895372702,97.8602093712,436.126139527,749.56148566,1065.11594704,1570.21002779,nan,0.0179705345765,1.0295249714,0.00356722562586,0.204386105991,0.0241963162034,1.38607634223,0.0803706721011,4.59502352565,313.435346133,315.554461384,505.09408075,nan,0,0,-2.62695282083,0,0,0,0,0
west,west_0291,145500,0.814044102241,86241.4509826,3245537.2563,native,0,0.000153589719654,80.3504286884,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,30.9222222222,false,false,30.9222222222,2.67542409946,2.63143409721,1.74246098969,21.0206573616,110.677233001,626.989451692,758.191878369,978.43734618,1467.96629464,1929.32115376,0.0111580255471,0.639281241928,0.00355589243007,0.20373676994,0.0385563927439,2.20802486433,0.0896565756391,5.12324529491,131.202426677,220.245467811,489.52894846,461.354859118,-0.292492714118,-1.86813866478,-6.27587099959,0,0,0,0,0
west,west_0292,146000,0.816841504654,86343.746759,3246021.81081,native,0,-1.53880502023e-05,86.5615771048,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,123.688888889,false,unknown,123.688888889,3.70979759394,4.36557960398,8.01833198928,27.431869288,128.92268175,331.846526399,570.479540436,838.811438664,1351.21762406,1813.34335777,0.0178015108343,1.01984372148,0.0146110095412,0.837089616784,0.0388270745975,2.2235106091,0.101490812462,5.79515214139,238.633014036,268.331898229,512.406185397,462.125733707,0.939746485627,-0.133993158008,0,4.02810184744,1077.50644828,4.02810184744,0,4
west,west_0293,146500,0.819638907068,86297.3162001,3246467.04238,native,0,-0.000524506085106,79.4687583569,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,138.288381808,false,unknown,138.288381808,2.54468287663,5.4741784238,10.2292113346,23.4037674406,112.760997352,223.399827043,487.7499771,909.661703127,1455.04781791,1913.38978753,0.0206097391323,1.18068391844,0.0190201316431,1.08964188336,0.026349112212,1.50934368809,0.0893572299118,5.10623036312,264.350150057,421.911726027,545.386114784,458.341969618,-0.225368231688,0,0,-2.36099302198,0,0,0,0
west,west_0294,147000,0.822436309481,86508.7344582,3246909.30379,native,0,-4.02534476977e-05,56.5095920993,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,291.719661006,false,unknown,291.719661006,2.77005110832,7.45189787395,12.8566253194,25.7647604626,104.079567654,172.666457042,356.256426653,829.138762754,1444.75102238,1966.05660491,0.0296512062685,1.69839135478,0.0216189097816,1.23847936651,0.0258162702864,1.47883485069,0.0783148071911,4.47796807894,183.589969611,472.8823361,615.612259628,521.305582533,0,0.999275956727,0,-1.66710882546,199.855191345,0.999275956727,0,3
west,west_0295,147500,0.825233711894,86831.7040804,3247274.70814,native,0,0.000847716378818,77.162405693,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,111.491657774,false,unknown,111.491657774,3.52030438634,9.5217028631,20.2572079894,47.5591948064,183.921683005,138.850135461,260.53324895,493.72504107,1033.17002414,1491.12657576,0.0383705504869,2.19739261714,0.0429420205053,2.458885872,0.054603973634,3.1254734023,0.136362488199,7.76510143437,121.683113489,233.191792121,539.444983074,457.956551612,0.75025327802,2.06980498915,6.06044481562,14.3125817697,6321.04224197,14.3125817697,900,4
west,west_0296,148000,0.828031114307,86697.6642487,3247738.36306,native,0,0.000419655326117,105.08016283,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,197.998830586,false,unknown,197.998830586,2.10916697581,6.45262191723,14.1967631738,36.7389378194,122.061398361,203.462533822,357.545449046,660.086862715,1228.8808206,1797.7145043,0.0260536878365,1.49242873067,0.0309765650263,1.77425908962,0.0450843492913,2.58139490362,0.0853224605413,4.87680551844,154.082915224,302.541413669,568.793957889,568.833683692,-1.41113741052,-0.999275956727,0,3.49232478271,873.081195677,3.49232478271,0,4
west,west_0297,148500,0.83082851672,86594.4338034,3248155.28295,native,0,-0.000141817264717,101.20688473,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,30.9222222222,false,unknown,30.9222222222,5.52286590248,8.02456216832,14.5026290672,33.2466130367,108.240993361,69.326544455,329.948753613,692.454674658,1317.85638307,1917.25665583,0.0292562515337,1.67578173002,0.0259122675955,1.48433141436,0.0374879679391,2.14689700977,0.0749943803241,4.288833146,260.622209158,362.505921044,625.401708412,599.400272764,2.00256151615,1.57194025109,0.305865893389,0,579.27987395,2.00256151615,400,4
west,west_0298,149000,0.833625919134,86523.6257728,3248616.76761,native,0,-0.000106730839166,96.9546320994,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,61.8444444444,false,unknown,61.8444444444,3.87494452718,5.30116601211,12.6522895567,31.5778933332,99.277580653,222.247436365,430.476300263,715.944058706,1359.92821071,nan,0.0174528264576,0.99987178414,0.0294044941782,1.6842681073,0.037851207553,2.1676796159,0.0676996873198,3.87299660464,208.228863898,285.467758443,643.984152005,nan,0,-1.15145590511,-0.592719669521,-0.526043293254,0,0,0,0
west,west_0299,149500,0.836423321547,86482.0448384,3249076.64836,native,0,-0.000284482923306,95.0916581016,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,185.533333333,false,unknown,185.533333333,1.89720958157,4.68579966655,12.4076242618,32.1039366264,92.2826686019,263.675123214,429.540324078,705.070640819,1371.5789733,nan,0.0188671427901,1.0808794123,0.030887298381,1.76914937649,0.0393926247293,2.25586475563,0.0601787319755,3.4438341073,165.865200864,275.530316741,666.508332481,nan,-2.03739595374,-3.06433873362,-0.837384964408,0.526043293254,131.510823314,0.526043293254,0,4
