case_id,requested_time_min_s,side,representation,common_scale_m,response,predictor,boundary_exclusion_m,raw_source_class_subset,matched_resolution_subset,spearman_rho,block_bootstrap_ci_low,block_bootstrap_ci_high,sample_count,same_sign_case_count
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,velocity_isobath_alignment,0,all,raw_30m_only,0.5,0.5,0.5,3,2
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_20m_isobath,0,all,raw_30m_only,0,0,0,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_50m_isobath,0,all,raw_30m_only,0,0,0,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_500m,0,all,raw_30m_only,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_1000m,0,all,raw_30m_only,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,integrated_channel_anomaly_0_1000m,0,all,raw_30m_only,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_20m,0,all,raw_30m_only,0,0,0,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_50m,0,all,raw_30m_only,0,0,0,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,shoreline_curvature_500m,0,all,raw_30m_only,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_source_boundary,0,all,raw_30m_only,-0.5,-0.5,-0.5,3,2
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,raw_source_native_resolution,0,all,raw_30m_only,nan,nan,nan,3,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,velocity_isobath_alignment,0,all,raw_30m_only,-0.866025403784,-0.866025403784,-0.866025403784,3,3
