case_id,requested_time_min_s,side,station_id,alongshore_distance_m,displayed_arrow_count,frame_presence_fraction,median_frame_local_max_speed_mps,median_frame_local_top3_mean_speed_mps,max_speed_mps,unique_hotspot_count,recurrent_hotspot_count,median_u_parallel,median_u_normal,median_alignment_to_isobath_deg,median_alignment_to_shoreline_tangent_deg,median_u_parallel_isobath,median_u_downslope,raw_source_id,raw_source_native_resolution_m,raw_source_multibeam,distance_to_raw_source_boundary_m
aqaba_lsa_c10_angm25,900,east,east_0072,36000,1,0.208333333333,23.6787296587,23.6787296587,23.6787296587,1,1,-7.24359813189,-22.5435694679,24.9493331472,72.1869835124,-21.4690579652,-9.98808231538,gmrt_shore_blend,54,unknown,30.9222222222
aqaba_lsa_c10_angm25,900,east,east_0070,35000,1,0.0416666666667,18.358914819,18.358914819,18.358914819,1,0,7.19019999598,16.8923289499,6.11696025289,66.943027766,18.2543873297,-1.95629664197,gmrt_shore_blend,54,unknown,61.8444444444
aqaba_lsa_c10_angm25,900,east,east_0071,35500,2,0.416666666667,16.8304720583,16.8304720583,17.5300820101,2,2,14.0766092724,-9.14511259701,16.7532865775,32.8376639972,15.9774223814,-4.89665744577,copernicus_a2_land_core,30,false,43.7306260454
aqaba_lsa_c10_angm25,900,east,east_0076,38000,1,0.0416666666667,17.4225222303,17.4225222303,17.4225222303,1,0,-16.3774353044,5.94339075911,8.17801740124,19.945894786,-17.2453505166,2.47833944907,gmrt_shore_blend,54,unknown,111.491657774
aqaba_lsa_c10_angm25,900,east,east_0069,34500,1,0.0416666666667,17.2282248025,17.2282248025,17.2282248025,1,0,-1.41622669377,-17.1699164762,33.408109638,85.2847446426,-14.3816041833,-9.48584160524,copernicus_a2_land_core,30,false,43.7306260454
aqaba_lsa_c10_angm25,900,east,east_0018,9000,1,0.125,17.1794423147,17.1794423147,17.1794423147,1,1,17.1259068635,1.3551945789,11.140507608,4.52445922337,16.8557181853,3.31933769009,gmrt_shore_blend,54,unknown,69.1441909042
aqaba_lsa_c10_angm25,900,east,east_0065,32500,1,0.0416666666667,16.4277310161,16.4277310161,16.4277310161,1,0,16.1492592012,-3.01193851023,26.7009007069,10.5646439672,14.675948827,-7.38152236092,gmrt_shore_blend,54,unknown,61.8444444444
aqaba_lsa_c10_angm25,900,east,east_0052,26000,1,0.166666666667,16.2498599584,16.2498599584,16.2498599584,1,1,-14.1874120813,7.92308570592,27.2178860478,29.1815608628,-14.4505720741,-7.43228870526,gmrt_shore_blend,54,unknown,30.9222222222
aqaba_lsa_c10_angm25,900,east,east_0034,17000,1,0.416666666667,16.2124860104,16.2124860104,16.2124860104,1,1,12.7418020364,-10.0245290914,27.8246785545,38.1936667515,14.3379985427,-7.56746327558,copernicus_a2_land_core,30,false,30.9222222222
aqaba_lsa_c10_angm25,900,west,west_0070,35000,3,0.208333333333,6.74116486755,6.88667985524,7.58303018648,3,1,-6.5427598439,1.42425926186,29.9163391098,13.9353364039,5.84293538401,-2.41861861266,gmrt_shore_blend,54,unknown,30.9222222222
aqaba_lsa_c10_angm25,900,west,west_0061,30500,1,0.0833333333333,7.25247065007,7.25247065007,7.25247065007,1,1,5.57457265783,-4.63923164036,30.167496247,39.7676661874,-6.27019620529,-3.64458091931,gmrt_shore_blend,54,unknown,154.611111111
aqaba_lsa_c10_angm25,900,west,west_0006,3000,1,0.0416666666667,7.13316457818,7.13316457818,7.13316457818,1,0,-6.32160827082,-3.30443728488,10.447690045,27.5970127985,7.01490295324,-1.29351206257,gmrt_shore_blend,54,unknown,264.19958248
aqaba_lsa_c10_angm25,900,west,west_0089,44500,1,0.0833333333333,6.85377274734,6.85377274734,6.85377274734,1,1,-1.55604478448,6.67479778726,73.8721524512,76.8774405745,1.90385188702,6.58403742884,gmrt_shore_blend,54,unknown,216.455555556
aqaba_lsa_c10_angm25,900,west,west_0083,41500,1,0.0416666666667,6.6907627327,6.6907627327,6.6907627327,1,0,6.65428423693,-0.697715729673,4.82608359378,5.98571163727,-6.66704171804,0.562903788634,gmrt_shore_blend,54,unknown,30.9222222222
aqaba_lsa_c10_angm25,900,west,west_0000,0,1,0.0416666666667,6.64947994929,6.64947994929,6.64947994929,1,0,4.10800503798,5.22875493821,26.7438599997,51.8448223775,5.93816627625,2.99228422304,gmrt_shore_blend,54,unknown,69.1441909042
aqaba_lsa_c10_angm25,900,west,west_0001,500,1,0.0416666666667,6.57806188418,6.57806188418,6.57806188418,1,0,-5.1271404119,-4.12108351636,6.14367335656,38.7915609062,6.54028181286,-0.703997131052,gmrt_shore_blend,54,unknown,304.548569582
aqaba_lsa_c10_angm25,900,west,west_0072,36000,1,0.0416666666667,6.43330411403,6.43330411403,6.43330411403,1,0,3.66350854768,5.28829905968,67.3566851449,55.2874303179,2.476778,5.93742137315,gmrt_shore_blend,54,unknown,197.998830586
aqaba_lsb_nc10_angm20,900,east,east_0058,29000,1,0.0833333333333,27.7789975221,27.7789975221,27.7789975221,1,1,-27.6496665338,-2.67743233373,12.7332179228,5.53094428431,-27.0958264554,-6.122817328,gmrt_shore_blend,54,unknown,61.8444444444
aqaba_lsb_nc10_angm20,900,east,east_0084,42000,1,0.0416666666667,18.4864156385,18.4864156385,18.4864156385,1,0,-18.2591577653,-2.88976138514,71.1376600221,8.99324978047,-5.97657488575,-17.4936593026,gmrt_shore_blend,54,unknown,43.7306260454
aqaba_lsb_nc10_angm20,900,east,east_0081,40500,1,0.0416666666667,18.4476041902,18.4476041902,18.4476041902,1,0,5.27320249193,-17.6778798457,47.7573608609,73.3904825237,-12.4018023246,-13.6568444181,copernicus_a2_land_core,30,false,43.7306260454
aqaba_lsb_nc10_angm20,900,east,east_0052,26000,2,0.541666666667,16.9050749379,16.9050749379,17.4609514572,2,2,-15.6456919866,6.03629054708,34.5628094829,20.8572376167,-13.8723854811,-9.4828067429,gmrt_shore_blend,54,unknown,30.9222222222
aqaba_lsb_nc10_angm20,900,east,east_0070,35000,1,0.0416666666667,17.0890655957,17.0890655957,17.0890655957,1,0,3.09716244402,-16.8060628265,83.9025936105,79.5582092611,1.81518449221,-16.992388537,gmrt_shore_blend,54,unknown,61.8444444444
aqaba_lsb_nc10_angm20,900,east,east_0083,41500,1,0.0416666666667,16.8576261061,16.8576261061,16.8576261061,1,0,14.5221894787,-8.56069919331,12.1672342308,30.5189645972,16.478946253,-3.55301116294,gmrt_shore_blend,54,unknown,61.8444444444
